Index, Position, Quaternion, EulerAngles, Scale, Label
0, (-2.11, 2.01, -15.00), (0.05803, 0.96391, -0.18820, -0.17913), (20.00, 203.00, 11.00), 2.8814, FracturePlate_1x_LatScrewCut1 (1)
0, (5.03, 2.30, -15.00), (-0.83279, 0.34868, -0.05806, 0.42605), (318.00, 148.00, 238.00), 1.83739, FracturePlate_1x_MedScrewCut1 (1)
0, (-6.45, 2.70, -15.00), (-0.28163, 0.39321, 0.87335, 0.05774), (314.00, 320.00, 190.00), 2.405405, FracturePlate_1x_LatScrewCut1
1, (-6.12, 2.09, -15.00), (0.39430, -0.87786, 0.18789, 0.19646), (29.00, 193.00, 315.00), 0.6763564, FracturePlate_1x_MedScrewCut1 (1)
1, (-1.99, -2.26, -15.00), (-0.20029, -0.92017, -0.27823, 0.18909), (324.00, 197.00, 19.00), 0.8501, FracturePlate_1x_LatScrewCut1
1, (4.95, 1.48, -15.00), (-0.51336, 0.53722, -0.49515, 0.45022), (4.00, 96.00, 269.00), 0.8962455, FracturePlate_1x_LatScrewCut1 (1)
2, (-1.05, -2.82, -15.00), (0.01065, 0.91323, -0.02391, 0.40660), (3.00, 132.00, 0.00), 2.612707, FracturePlate_1x_MedScrewCut1 (1)
2, (2.33, -1.91, -15.00), (-0.77794, 0.39400, -0.33450, 0.35733), (343.00, 123.00, 243.00), 2.684532, FracturePlate_1x_LatScrewCut1
3, (3.01, -1.29, -15.00), (-0.69147, 0.05517, 0.55598, 0.45794), (316.00, 273.00, 143.00), 2.2206, Med_Ins
3, (-3.66, -0.93, -15.00), (-0.42216, -0.57100, 0.59379, -0.37838), (86.00, 263.00, 152.00), 2.535488, FracturePlate_1x_LatScrewCut1
4, (-4.74, 1.43, -15.00), (0.03783, -0.73092, 0.66778, -0.13563), (75.00, 106.00, 294.00), 1.079026, Lat_Ins
4, (1.50, -0.33, -15.00), (0.79697, -0.45413, -0.39825, 0.00210), (339.00, 223.00, 231.00), 0.8113567, FracturePlate_1x_MedScrewCut1
4, (6.47, -0.74, -15.00), (0.74622, 0.59024, 0.09458, 0.29295), (19.00, 149.00, 98.00), 2.757182, Med_Ins
5, (6.92, -1.95, -15.00), (-0.57889, 0.25693, 0.35962, 0.68523), (282.00, 342.00, 70.00), 2.007343, FracturePlate_1x_MedScrewCut1 (1)
5, (-1.08, -0.30, -15.00), (0.82376, -0.24412, -0.00865, 0.51161), (57.00, 209.00, 229.00), 1.319125, Lat_Ins
5, (5.56, -0.12, -15.00), (0.10345, 0.14486, -0.98303, -0.04434), (16.00, 347.00, 173.00), 2.029772, Med_Ins
6, (1.40, 1.47, -15.00), (-0.27600, -0.64679, -0.65008, 0.28789), (271.00, 309.00, 278.00), 2.932407, Lat_Ins
6, (0.98, -2.04, -15.00), (0.56621, -0.82384, -0.02157, -0.01483), (357.00, 180.00, 291.00), 0.7087907, FracturePlate_1x_LatScrewCut1 (1)
7, (6.16, -0.16, -15.00), (0.61699, 0.55246, 0.12941, 0.54532), (32.00, 116.00, 76.00), 2.528259, FracturePlate_1x_MedScrewCut1 (1)
7, (-2.90, 1.06, -15.00), (-0.29249, 0.60296, 0.22198, 0.70825), (317.00, 82.00, 357.00), 1.758775, FracturePlate_1x_LatScrewCut1 (1)
8, (-0.67, 0.14, -15.00), (0.69035, -0.15305, 0.15305, 0.69035), (90.00, 335.00, 0.00), 1.439416, FracturePlate_1x_LatScrewCut1
